Date,High,Low,Open,Close,Volume,Adj Close
2020-10-06,398.0,388.0,388.25,394.25,67995.0,394.25
2020-10-07,400.75,393.25,393.75,397.25,58325.0,397.25
2020-10-08,402.25,394.25,397.25,394.75,72269.0,394.75
2020-10-09,405.0,394.25,394.75,402.25,100175.0,402.25
2020-10-12,405.75,394.75,402.0,396.75,66445.0,396.75
2020-10-13,400.25,395.5,396.5,399.25,46295.0,399.25
2020-10-14,403.25,395.75,399.0,402.5,73323.0,402.5
2020-10-15,408.75,399.5,401.5,408.0,92650.0,408.0
2020-10-16,412.25,406.0,407.25,407.0,90899.0,407.0
2020-10-19,411.25,405.5,406.5,410.5,65241.0,410.5
2020-10-20,414.0,408.75,409.5,413.25,68102.0,413.25
2020-10-21,418.5,412.0,412.25,416.75,117834.0,416.75
2020-10-22,420.75,413.25,416.25,418.25,92899.0,418.25
2020-10-23,421.75,416.5,417.0,420.25,91845.0,420.25
2020-10-26,420.0,414.25,419.5,418.5,103471.0,418.5
2020-10-27,422.25,415.75,417.5,416.5,115190.0,416.5
2020-10-28,416.0,403.0,415.5,404.25,202593.0,404.25
2020-10-29,406.75,396.0,404.0,401.5,144243.0,401.5
2020-10-30,404.5,399.25,400.5,403.25,129838.0,403.25
2020-11-02,402.25,397.5,401.0,401.75,91826.0,401.75
2020-11-03,407.0,399.5,401.0,406.0,104922.0,406.0
2020-11-04,412.0,402.25,405.25,411.25,123488.0,411.25
2020-11-05,422.25,410.0,410.5,414.75,143266.0,414.75
2020-11-06,417.5,412.25,414.25,413.75,144802.0,413.75
2020-11-09,417.0,408.75,413.0,415.25,144551.0,415.25
2020-11-10,434.25,414.0,414.5,431.0,263367.0,431.0
2020-11-11,435.75,425.75,430.25,427.0,232307.0,427.0
2020-11-12,428.25,416.25,426.5,418.25,177452.0,418.25
2020-11-13,422.25,413.5,417.5,419.5,150696.0,419.5
2020-11-16,424.75,418.0,418.0,424.25,101159.0,424.25
2020-11-17,429.0,425.0,425.0,426.75,157279.0,426.75
2020-11-18,433.0,424.0,425.25,430.5,157279.0,430.5
2020-11-19,430.75,424.25,429.0,429.25,107316.0,429.25
